,Ubicacion,Metros cuadrados,Metros cuadrados techados,Parqueo,Medio baños,Dormitorios,Antiguedad del edificio,Parque cercano,Piso en el que se encuentra,Venta,Mantenimiento,Link Pagina,Link imagen
271,"AV. LA MOLINA 1020,  Sol De La Molina, La Molina",1011m²Superficie total,245m²Superficie techada,4Estacionamientos,1Medio baño,3Dormitorios,30Antigüedad,No hay informacion,No hay informacion,"S/ 3,740,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-sol-de-la-molina-la-molina-3-dormitorios-58293197,https://img10.naventcdn.com/avisos/111/00/58/29/31/97/720x532/210938987.jpg
272," Pachacamac, Villa el Salvador",210m²Superficie total,210m²Superficie techada,0Estacionamientos,1Medio baño,5Dormitorios,15Antigüedad,No hay informacion,No hay informacion,"S/ 295,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-pachacamac-villa-el-salvador-5-a-mas-dormitorios-58308733,https://img10.naventcdn.com/avisos/111/00/58/30/87/33/720x532/211176976.jpg
273,"ANGELICA GAMARRA 576,  Los Olivos, Lima",380m²Superficie total,127m²Superficie techada,0Estacionamientos,No hay informacion,12Dormitorios,5Antigüedad,No hay informacion,No hay informacion,"S/ 935,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-los-olivos-lima-5-a-mas-dormitorios-58026644,https://img10.naventcdn.com/avisos/111/00/58/02/66/44/720x532/206804981.jpg
274,"LAS LAGUNAS,  Las Lagunas De La Molina, La Molina",623m²Superficie total,520m²Superficie techada,5Estacionamientos,No hay informacion,4Dormitorios,4Antigüedad,No hay informacion,No hay informacion,"S/ 3,652,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-las-lagunas-de-la-molina-la-molina-4-dormitorios-12927556,https://img10.naventcdn.com/avisos/111/00/12/92/75/56/720x532/188504987.jpg
275,"Esteban Bentarelli 264,  San Borja, Lima",201m²Superficie total,200m²Superficie techada,No hay informacion,No hay informacion,4Dormitorios,40Antigüedad,No hay informacion,No hay informacion,"S/ 1,353,300",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-san-borja-lima-4-dormitorios-58288889,https://img10.naventcdn.com/avisos/111/00/58/28/88/89/720x532/210863509.jpg
276,"Calle Los Petirojos 260,  San Isidro, Lima",325m²Superficie total,305m²Superficie techada,No hay informacion,1Medio baño,6Dormitorios,33Antigüedad,No hay informacion,No hay informacion,"S/ 2,546,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-san-isidro-lima-5-a-mas-dormitorios-58024473,https://img10.naventcdn.com/avisos/111/00/58/02/44/73/720x532/206772057.jpg
277,"Av Costa Peruana,  Caballeros, Punta Hermosa",437m²Superficie total,205m²Superficie techada,2Estacionamientos,1Medio baño,6Dormitorios,5Antigüedad,Parques Cercanos ,No hay informacion,"S/ 2,164,500",300,https://urbania.pe/inmueble/venta-de-casa-en-caballeros-punta-hermosa-5-a-mas-dormitorios-12610422,https://img10.naventcdn.com/avisos/111/00/12/61/04/22/720x532/181814971.jpg
278,"Calle Santa Carmen, Miraflores,  Miraflores, Lima",300m²Superficie total,380m²Superficie techada,2Estacionamientos,No hay informacion,4Dormitorios,25Antigüedad,Parques Cercanos ,No hay informacion,"S/ 2,589,600",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-miraflores-lima-4-dormitorios-13161075,https://img10.naventcdn.com/avisos/111/00/13/16/10/75/720x532/194175276.jpg
279,"Playa gaviotas,  Las Gaviotas, Asia",180m²Superficie total,164m²Superficie techada,3Estacionamientos,No hay informacion,4Dormitorios,14Antigüedad,Parques Cercanos ,No hay informacion,"S/ 1,029,200",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-las-gaviotas-asia-4-dormitorios-13043551,https://img10.naventcdn.com/avisos/111/00/13/04/35/51/720x532/191634764.jpg
280,"Calle Ivan Huerta xxx,  Prolongacion Benavides, Santiago de Surco",160m²Superficie total,120m²Superficie techada,2Estacionamientos,1Medio baño,3Dormitorios,15Antigüedad,Parques Cercanos ,No hay informacion,"S/ 1,162,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-prolongacion-benavides-santiago-de-surco-3-dormitorios-13447212,https://img10.naventcdn.com/avisos/111/00/13/44/72/12/720x532/206895651.jpg
